Date,Open,High,Low,Close,Volume
3/1/2018 16:00:00,292.75,295.25,283.83,290.39,11932051
3/2/2018 16:00:00,284.65,301.18,283.23,301.05,13345313
3/5/2018 16:00:00,302.85,316.91,297.6,315,18986099
3/6/2018 16:00:00,319.88,325.79,316.5,325.22,18525844
3/7/2018 16:00:00,320,323.74,314.55,321.16,17132222
3/8/2018 16:00:00,322.2,322.92,314.13,317,11340066
3/9/2018 16:00:00,321.33,331.44,320.23,331.44,14500219
3/12/2018 16:00:00,333.56,333.98,318.6,321.3,20369152
3/13/2018 16:00:00,323.87,325.84,313.28,315.88,12917224
3/14/2018 16:00:00,318.16,323.88,317.7,321.55,10475073
3/15/2018 16:00:00,323.17,323.4,318.14,321.09,5642883
3/16/2018 16:00:00,321.42,324.11,318.37,318.45,7333734
3/19/2018 16:00:00,315.8,317,307.34,313.48,9925162
3/20/2018 16:00:00,313.26,319.5,312.8,317.5,5991945
3/21/2018 16:00:00,316.35,319.4,314.51,316.48,5263911
3/22/2018 16:00:00,313.07,314.12,305.66,306.7,8063305
3/23/2018 16:00:00,307.41,310.73,300.36,300.94,9529948
3/26/2018 16:00:00,309.36,321.03,302,320.35,11988274
3/27/2018 16:00:00,322.49,322.9,297,300.69,12068632
3/28/2018 16:00:00,298.39,298.8,281.61,285.77,18972912
3/29/2018 16:00:00,287,295.35,275.9,295.35,19145522
4/2/2018 16:00:00,291.94,292.87,275.05,280.29,13405760
4/3/2018 16:00:00,285.45,291.25,278.01,283.67,12694862
4/4/2018 16:00:00,273.63,290.31,271.22,288.94,12913978
4/5/2018 16:00:00,293.15,299.16,289.11,293.97,10655178
4/6/2018 16:00:00,289.1,298.85,285.65,288.85,11444777
4/9/2018 16:00:00,291.77,299.55,289.12,289.93,9853564
4/10/2018 16:00:00,297.68,298.95,291.69,298.07,10719097
4/11/2018 16:00:00,302.88,311.64,301.82,303.67,14877429
4/12/2018 16:00:00,309.72,311.13,306.75,309.25,10249403
4/13/2018 16:00:00,317.29,317.49,308.23,311.65,12046573
4/16/2018 16:00:00,315.99,316.1,304,307.78,20307921
4/17/2018 16:00:00,329.66,338.62,323.77,336.06,33866456
4/18/2018 16:00:00,336.3,338.82,331.1,334.52,11221139
4/19/2018 16:00:00,332.88,335.31,326.77,332.7,8438825
4/20/2018 16:00:00,332.22,336.51,326,327.77,9158655
4/23/2018 16:00:00,329.15,331.22,317.08,318.69,8968015
4/24/2018 16:00:00,319.22,320.25,302.31,307.02,13893217
4/25/2018 16:00:00,306.37,309.98,292.62,305.76,14919698
4/26/2018 16:00:00,310,316.63,305.58,313.98,9266699
4/27/2018 16:00:00,316.25,317.45,306.5,311.76,7074384
4/30/2018 16:00:00,311.07,317.88,310.12,312.46,6088787
5/1/2018 16:00:00,310.36,313.48,306.69,313.3,6036639
5/2/2018 16:00:00,311.65,317.1,310.4,313.36,5697120
5/3/2018 16:00:00,312.59,312.59,305.73,311.69,6135828
5/4/2018 16:00:00,308.71,320.98,307.67,320.09,8209513
5/7/2018 16:00:00,321.99,329.02,319.34,326.26,7117823
5/8/2018 16:00:00,325.9,327.35,323.05,326.89,4735738
5/9/2018 16:00:00,328.79,331.95,327.51,330.3,5633444
5/10/2018 16:00:00,331.5,332.06,327.34,329.6,5302254
5/11/2018 16:00:00,329.65,331.26,324.87,326.46,4589731
5/14/2018 16:00:00,327.25,330.5,327.04,328.53,4089800
5/15/2018 16:00:00,325.94,326.94,322.43,326.13,4746096
5/16/2018 16:00:00,326.28,329.72,325.14,328.19,3671690
5/17/2018 16:00:00,327.53,330.45,323.17,325.22,4935708
5/18/2018 16:00:00,324.9,326.42,322.8,324.18,3577717
5/21/2018 16:00:00,327.11,331.88,325.45,331.82,6657326
5/22/2018 16:00:00,334.05,336.63,331.15,331.62,5964448
5/23/2018 16:00:00,329.04,345,328.09,344.72,10049147
5/24/2018 16:00:00,344.34,354,341.12,349.29,14758553
5/25/2018 16:00:00,349.9,354.36,348.83,351.29,7817400
5/29/2018 16:00:00,351.5,356.1,346.71,349.73,9717921
5/30/2018 16:00:00,352.37,354,349.26,353.54,5685531
5/31/2018 16:00:00,352.37,354,349.26,353.54,63922
6/1/2018 16:00:00,353.88,359.99,352.82,359.93,7112292
6/4/2018 16:00:00,362.68,363,355.51,361.81,7681995
6/5/2018 16:00:00,363.32,369.83,361.41,365.8,8358045
6/6/2018 16:00:00,367.78,369.68,363.33,367.45,7712302
6/7/2018 16:00:00,368.54,368.7,357.8,361.4,8278040
6/8/2018 16:00:00,358.06,362.39,356.25,360.57,5225736
6/11/2018 16:00:00,361.88,365.67,360.91,361.45,4432445
6/12/2018 16:00:00,363.6,365.98,362,363.83,4290969
6/13/2018 16:00:00,367.53,384.25,364.11,379.93,18222799
6/14/2018 16:00:00,384.27,395.03,383.25,392.87,14598333
6/15/2018 16:00:00,390.71,398.86,387.51,391.98,13588114
6/18/2018 16:00:00,387.72,393.16,386.5,390.4,6824794
6/19/2018 16:00:00,389.5,405.29,388.5,404.98,16697104
6/20/2018 16:00:00,415.15,419.47,409.6,416.76,16494572
6/21/2018 16:00:00,421.38,423.21,406.37,415.44,18389936
6/22/2018 16:00:00,419.98,420.5,409.65,411.09,10428621
6/25/2018 16:00:00,404.69,405.99,378.75,384.48,22490922
6/26/2018 16:00:00,393.28,404.78,389.05,399.39,15191157
6/27/2018 16:00:00,407.56,411.59,390,390.39,16541426
6/28/2018 16:00:00,395,396.9,387.1,395.42,12219888
6/29/2018 16:00:00,399.19,401.33,390.55,391.43,9252511
7/2/2018 16:00:00,385.45,398.38,380,398.18,8142457
7/3/2018 13:00:00,399.49,399.98,389.5,390.52,5280344
7/5/2018 16:00:00,393.8,399.24,390.86,398.39,8448937
7/6/2018 16:00:00,397.45,408.65,395.52,408.25,8629606
7/9/2018 16:00:00,415.95,419.12,411.1,418.97,11127477
7/10/2018 16:00:00,417.24,419.44,413.08,415.63,9382944
7/11/2018 16:00:00,411.34,419.77,410.6,418.65,9713904
7/12/2018 16:00:00,415.16,416.79,407.8,413.5,12743273
7/13/2018 16:00:00,409.19,410,395.08,395.8,15747266
7/16/2018 16:00:00,398.98,403.36,391.75,400.48,22959984
7/17/2018 16:00:00,346.95,385,344,379.48,58410362
7/18/2018 16:00:00,381.24,383.13,372.36,375.13,21746266
7/19/2018 16:00:00,371.06,375.75,363,364.23,16878681
7/20/2018 16:00:00,364.92,370.5,360.14,361.05,15113740
7/23/2018 16:00:00,359.15,363.9,353.6,362.66,11505232
7/24/2018 16:00:00,366.94,367.4,354.56,357.32,12851457
7/25/2018 16:00:00,357.57,363.28,355.65,362.87,8516248
7/26/2018 16:00:00,358.19,365.54,356.63,363.09,6993684
7/27/2018 16:00:00,366.85,367,351.65,355.21,8949491
7/30/2018 16:00:00,351.93,352.03,334.02,334.96,18260710
7/31/2018 16:00:00,331.51,342.5,328,337.45,14085369
8/1/2018 16:00:00,335.87,344.41,334.02,338.38,7790477
